product_id,product_name,category,base_price
1,Product_1,Wearables,2819
2,Product_2,Wearables,3340
3,Product_3,Electronics,3353
4,Product_4,Accessories,1058
5,Product_5,Electronics,1617
6,Product_6,Wearables,708
7,Product_7,Home,240
8,Product_8,Toys,2394
9,Product_9,Kitchen,2894
10,Product_10,Toys,894
11,Product_11,Wearables,787
12,Product_12,Beauty,1806
13,Product_13,Books,1583
14,Product_14,Home,1874
15,Product_15,Beauty,2121
16,Product_16,Accessories,2443
17,Product_17,Wearables,3034
18,Product_18,Wearables,2591
19,Product_19,Accessories,1902
20,Product_20,Fitness,241
21,Product_21,Toys,4974
22,Product_22,Wearables,3354
23,Product_23,Toys,1608
24,Product_24,Home,234
25,Product_25,Books,4490
26,Product_26,Accessories,741
27,Product_27,Accessories,1926
28,Product_28,Home,3454
29,Product_29,Toys,2629
30,Product_30,Home,4192
31,Product_31,Footwear,4310
32,Product_32,Home,553
33,Product_33,Toys,3118
34,Product_34,Kitchen,2034
35,Product_35,Fitness,1818
36,Product_36,Kitchen,3251
37,Product_37,Electronics,4809
38,Product_38,Fitness,3102
39,Product_39,Toys,3807
40,Product_40,Beauty,2080
41,Product_41,Kitchen,4446
42,Product_42,Electronics,3474
43,Product_43,Toys,1474
44,Product_44,Beauty,4959
45,Product_45,Footwear,3355
46,Product_46,Fitness,1862
47,Product_47,Kitchen,2401
48,Product_48,Home,4006
49,Product_49,Electronics,3860
50,Product_50,Accessories,3148
51,Product_51,Accessories,238
52,Product_52,Fitness,720
53,Product_53,Accessories,2727
54,Product_54,Wearables,4648
55,Product_55,Electronics,4944
56,Product_56,Electronics,4542
57,Product_57,Footwear,3294
58,Product_58,Books,1687
59,Product_59,Kitchen,1452
60,Product_60,Beauty,2749
61,Product_61,Fitness,4291
62,Product_62,Beauty,467
63,Product_63,Kitchen,1643
64,Product_64,Home,2813
65,Product_65,Electronics,901
66,Product_66,Books,2245
67,Product_67,Books,3438
68,Product_68,Accessories,4965
69,Product_69,Fitness,4677
70,Product_70,Toys,4986
71,Product_71,Accessories,3648
72,Product_72,Accessories,1888
73,Product_73,Electronics,4568
74,Product_74,Electronics,4478
75,Product_75,Footwear,1765
76,Product_76,Books,4132
77,Product_77,Home,4512
78,Product_78,Footwear,368
79,Product_79,Books,3188
80,Product_80,Footwear,4752
81,Product_81,Fitness,313
82,Product_82,Beauty,1372
83,Product_83,Home,902
84,Product_84,Books,4525
85,Product_85,Wearables,703
86,Product_86,Footwear,2121
87,Product_87,Electronics,1821
88,Product_88,Home,637
89,Product_89,Home,822
90,Product_90,Beauty,512
91,Product_91,Electronics,369
92,Product_92,Kitchen,3631
93,Product_93,Fitness,4539
94,Product_94,Fitness,3952
95,Product_95,Electronics,452
96,Product_96,Electronics,3456
97,Product_97,Footwear,1729
98,Product_98,Books,890
99,Product_99,Fitness,1974
100,Product_100,Home,699
